Outcome, Magnitude, Theta
0, 2.5287e+22, 0.5314
1, 1.79778e+22, 0.128986
0, 4.9715e+22, 0.942794
0, 4.61803e+22, 0.44449
0, 1.51844e+22, 1.30219
0, 4.20685e+22, 0.650279
0, 3.98443e+22, 0.886862
0, 4.37348e+22, 0.366134
0, 9.76339e+21, 0.704613
1, 5.50973e+21, 1.40887
0, 3.83019e+22, 0.648877
0, 4.70529e+22, 0.618642
0, 1.43719e+22, 0.550431
0, 4.857e+22, 0.42587
0, 1.2605e+22, 1.22217
0, 2.79387e+22, 0.743447
0, 1.61619e+22, 0.586962
1, 1.13056e+22, 0.632413
0, 2.13428e+22, 0.567365
1, 8.33533e+21, 0.113838
1, 1.50661e+22, 0.289858
0, 4.10679e+22, 0.564753
0, 2.23839e+22, 0.564665
0, 2.73662e+22, 0.637332
0, 3.25212e+22, 0.741165
0, 2.28051e+22, 1.48622
1, 1.42212e+22, 0.330433
0, 2.87647e+22, 1.39159
1, 9.40098e+21, 1.2022
1, 1.39268e+22, 0.00474464
0, 2.65592e+22, 0.792703
0, 3.56979e+22, 1.14109
0, 3.66065e+22, 1.02806
0, 2.06095e+22, 1.36879
1, 2.2805e+22, 0.352247
0, 3.46732e+22, 0.214271
0, 4.97325e+22, 1.23181
0, 4.2774e+22, 0.909209
0, 4.57394e+22, 0.930103
1, 7.0549e+21, 1.16436
1, 3.6184e+22, 0.140589
1, 2.20481e+22, 0.45384
1, 1.83067e+22, 0.0402846
0, 4.5556e+22, 0.62559
1, 1.79595e+22, 0.179464
1, 1.97415e+22, 0.297838
0, 3.62214e+22, 1.38346
0, 2.06292e+22, 1.17572
0, 2.11729e+22, 0.538554
0, 2.27537e+22, 0.913641
0, 2.08961e+22, 1.03232
1, 3.27108e+22, 0.204452
1, 3.29299e+22, 0.0386616
0, 4.85373e+22, 0.168149
0, 4.62146e+22, 1.10275
1, 6.60971e+21, 0.0317609
0, 4.8074e+22, 1.07908
0, 4.11302e+22, 1.22421
0, 3.25874e+22, 0.0526105
0, 2.1152e+22, 0.669385
0, 1.13658e+22, 1.26152
0, 3.71268e+22, 0.559664
1, 1.12845e+22, 0.46793
0, 8.58839e+21, 1.04551
1, 1.29727e+22, 0.774788
0, 1.83917e+22, 0.916196
0, 2.82105e+22, 0.115338
1, 6.54743e+21, 0.230162
