Outcome, Magnitude, Theta
0, 7.82081e+16, 0.536391
1, 1.01607e+16, 0.337505
0, 6.52842e+16, 1.52871
0, 9.80318e+16, 0.737174
0, 8.73118e+16, 1.23955
0, 2.41506e+16, 0.839913
0, 9.60876e+16, 1.24098
0, 8.92585e+16, 0.257155
0, 6.8349e+16, 1.03808
0, 8.18507e+16, 0.658726
0, 5.43794e+16, 0.262562
1, 9.51173e+15, 0.92734
0, 6.82672e+16, 1.41799
0, 3.76626e+16, 0.658687
0, 3.14668e+16, 0.702093
0, 6.53424e+16, 0.706327
1, 6.05766e+16, 0.243105
0, 3.42036e+16, 1.52814
0, 6.32565e+16, 0.671159
0, 4.31448e+16, 1.29446
0, 8.09215e+16, 1.33488
0, 8.21805e+16, 0.97516
0, 6.48938e+16, 0.326165
1, 1.51489e+16, 0.0874694
0, 8.38798e+16, 1.17921
1, 4.83732e+15, 0.461539
1, 5.61062e+16, 0.233332
0, 7.48654e+16, 0.23843
1, 3.4451e+15, 0.971392
0, 3.74605e+16, 0.449759
0, 6.8985e+16, 1.0411
0, 5.50376e+16, 1.47817
0, 2.29101e+16, 1.11914
0, 3.74699e+16, 0.809204
1, 2.7234e+16, 0.362863
0, 4.2576e+16, 0.391671
1, 4.04534e+15, 0.301397
1, 4.68248e+15, 0.947826
1, 2.06509e+16, 0.0535041
0, 7.57706e+16, 0.502797
1, 4.2292e+16, 0.0566006
0, 6.18398e+16, 0.869466
0, 5.10503e+16, 0.636454
1, 9.39598e+16, 0.110099
1, 3.54741e+15, 0.855559
0, 8.68378e+16, 1.07698
0, 4.68609e+16, 0.499421
0, 3.46507e+16, 1.4877
0, 4.90324e+16, 0.458099
0, 6.45903e+16, 0.605817
0, 2.1774e+16, 1.20301
0, 5.80139e+16, 1.24463
1, 6.31229e+16, 0.031795
0, 2.35485e+16, 1.03125
1, 3.12803e+16, 0.452232
0, 8.50796e+16, 1.479
0, 6.67306e+16, 0.854089
1, 1.4239e+16, 0.570212
0, 8.30396e+16, 0.685128
0, 4.29849e+16, 0.534696
1, 6.49202e+15, 0.549887
1, 2.09924e+16, 0.664041
0, 3.12444e+16, 1.36089
1, 5.60764e+15, 0.823382
1, 1.47221e+16, 0.120548
1, 5.16098e+15, 1.50597
1, 1.28269e+16, 1.54821
0, 9.94621e+16, 0.209891
0, 4.95095e+16, 0.64624
1, 1.11217e+16, 0.027459
0, 4.31481e+16, 1.31171
0, 7.25904e+16, 0.0563989
0, 3.23473e+16, 1.36575
1, 1.65039e+16, 0.345653
0, 7.39585e+16, 0.734325
0, 6.87298e+16, 1.20544
0, 1.58409e+16, 1.12094
1, 4.47322e+16, 0.248817
0, 6.66902e+16, 1.03722
0, 4.38007e+16, 0.873711
0, 7.46247e+16, 0.702828
1, 2.85705e+15, 0.343762
0, 6.21453e+16, 1.29506
1, 2.47785e+16, 0.397865
1, 5.94743e+15, 0.129836
0, 4.37901e+16, 1.27671
0, 3.91959e+16, 1.18205
0, 8.29234e+16, 0.156116
0, 3.14283e+16, 1.35759
0, 7.96602e+16, 0.770944
1, 3.56235e+16, 0.669796
0, 8.25739e+16, 0.101923
0, 8.79308e+16, 0.247307
0, 6.53768e+16, 0.951336
0, 9.12139e+16, 1.2377
0, 7.7837e+16, 0.231741
0, 7.64507e+16, 1.30457
1, 6.84781e+15, 1.27883
0, 9.96979e+16, 1.4339
0, 4.82794e+16, 1.23823
0, 7.97282e+16, 1.56397
0, 9.71961e+16, 0.961329
1, 1.22856e+16, 1.02533
0, 2.20919e+16, 1.36631
0, 2.24648e+16, 1.44963
1, 9.37472e+15, 0.268798
0, 1.41839e+16, 0.640298
0, 7.90469e+16, 0.951056
1, 2.14131e+16, 0.771683
0, 9.50362e+16, 0.188269
1, 2.15384e+16, 0.570757
0, 7.61438e+16, 1.3635
1, 3.68603e+16, 0.375679
0, 7.85726e+16, 0.590464
0, 3.8826e+16, 0.815104
0, 9.45393e+16, 0.220617
1, 3.82763e+16, 0.318585
0, 2.49061e+16, 1.50698
1, 1.39806e+16, 1.5298
0, 5.85619e+16, 1.11245
0, 4.53225e+16, 0.0775143
0, 3.06713e+15, 1.18352
0, 9.181e+16, 1.54691
1, 4.77802e+16, 0.0493175
0, 3.77222e+16, 0.936689
0, 6.23349e+16, 0.538304
0, 2.17837e+16, 1.35677
0, 8.89545e+16, 1.21054
0, 7.59072e+16, 1.14736
0, 9.22738e+16, 1.56544
1, 1.52911e+16, 0.856787
0, 1.38665e+16, 1.30077
0, 9.75641e+16, 0.761992
0, 7.49873e+16, 0.27112
0, 9.55241e+16, 1.20124
0, 7.26935e+16, 0.114938
1, 4.24646e+15, 0.909947
0, 6.57147e+16, 1.39897
0, 2.46671e+16, 1.55035
1, 3.18777e+16, 0.811627
0, 7.90258e+16, 0.366664
1, 2.20759e+16, 0.772427
0, 8.25795e+16, 0.0552264
